sens 1	Электрамабілі, пратэставаныя пры 19ºC ніжэй за нуль. Які з іх губляе большую	аўтаномію	? Адной з вялікіх праблем уладальнікаў электрамабіляў з'яўляецца страта аўтаномнасці ў халодным клім
sens 1	ю ў Нарвегіі У нас зіма, і гэта адна з самых вялікіх праблем для ўладальнікаў электрамабіляў страта	аўтаноміі	. Холад ўплывае на працу акумулятара, што прыводзіць да значнага зніжэння яго прадукцыйнасці. І пры
sens 1	адзначае меркаваны запас аўтаномнасці ў цыкле WLTP у 634 кіламетры, але чакалася значнае скарачэнне	аўтаноміі	. У рэшце рэшт, менавіта гэтая мадэль вылучалася вышэй за ўсіх, чым здолела ахапіць да 530 кіламетра
sens 1	кіламетраў падчас тэсту. Выпрабаванне тэмпературы было у сярэднім -19ºC, і нават пры гэтым зніжэнне	аўтаноміі	 было ацэнена на 16% менш, чым тое, што пазначана як афіцыйная аўтаномія. Добры запіс, які, нягледзя
sens 1	 і нават пры гэтым зніжэнне аўтаноміі было ацэнена на 16% менш, чым тое, што пазначана як афіцыйная	аўтаномія	. Добры запіс, які, нягледзячы на добры характар, не быў лепшым у агульным вымярэнні. Электрамабіль,
sens 1	адэлі складае 503 кіламетры, але яна здолела праехаць усяго 323 кіламетры. Гэта азначае, што страта	аўтаноміі	 склала 35%. Іншыя атрыманыя вынікі паказваюць, што Skoda Enyaq Coupe RS у-эль- Mercedes EQE 300 Яны
sens 1	трыманыя вынікі паказваюць, што Skoda Enyaq Coupe RS у-эль- Mercedes EQE 300 Яны адзначылі зніжэнне	аўтаноміі	 паміж 20 і 30%. Каб правесці тэст, вадзіцелі прайшлі маршрут, які пачынаўся ў Осла і павінен быў тр
sens 2	 іх губляе большую аўтаномію? Адной з вялікіх праблем уладальнікаў электрамабіляў з'яўляецца страта	аўтаномнасці	 ў халодным клімаце, таму яны былі падвергнуты выпрабаванню ў Нарвегіі У нас зіма, і гэта адна з сам
sens 2	х правераных аўтамабіляў быў Tesla Model S. Правераная амерыканская мадэль адзначае меркаваны запас	аўтаномнасці	 ў цыкле WLTP у 634 кіламетры, але чакалася значнае скарачэнне аўтаноміі. У рэшце рэшт, менавіта гэт
sens 2	ты аўтамабіль праехаў 317 кіламетраў, значна менш, чым Tesla Model S, але ёсць важная дэталь. А яго	аўтаномнасць	, пацверджаная брэндам, складае 354 кіламетры. Гэта ўяўляе зніжэнне аўтаномнасці ўсяго на 10%. На су
sens 2	ажная дэталь. А яго аўтаномнасць, пацверджаная брэндам, складае 354 кіламетры. Гэта ўяўляе зніжэнне	аўтаномнасці	 ўсяго на 10%. На супрацьлеглым баку знаходзіцца Toyota bZ4x. Запас ходу гэтай мадэлі складае 503 кі
